region,category,domain,dnssec_apex,dkim_selector,dkim_kind,dkim_validated
US,gov-census,lctl.gov,signed,none,none,na
US,gov-census,libraryofcongress.gov,signed,none,none,na
US,gov-census,lis.gov,signed,none,none,na
US,gov-census,loc.gov,signed,none,none,na
US,gov-census,loctest.gov,signed,none,none,na
US,gov-census,literacy.gov,signed,none,none,na
US,gov-census,macpac.gov,signed,google,direct,yes
US,gov-census,loctps.gov,signed,none,none,na
US,gov-census,nativeamericanheritagemonth.gov,signed,none,none,na
US,gov-census,read.gov,signed,none,none,na
US,gov-census,section108.gov,signed,none,none,na
US,gov-census,thomas.gov,signed,none,none,na
US,gov-census,tps.gov,signed,none,none,na
US,gov-census,unitedstatescongress.gov,signed,none,none,na
US,gov-census,uscongress.gov,signed,none,none,na
US,gov-census,medpac.gov,unsigned,none,none,na
US,gov-census,stennis.gov,unsigned,none,none,na
US,gov-census,compliance.gov,signed,none,none,na
US,gov-census,coil.gov,signed,none,none,na
US,gov-census,ocwr.gov,signed,none,none,na
US,gov-census,assistantdemocraticleader.gov,signed,none,none,na
US,gov-census,openworld.gov,signed,none,none,na
US,gov-census,cecc.gov,signed,none,none,na
US,gov-census,csce.gov,signed,none,none,na
US,gov-census,democraticleader.gov,signed,none,none,na
US,gov-census,womenshistorymonth.gov,signed,none,none,na
US,gov-census,democraticwhip.gov,signed,k2,cname,no
US,gov-census,dems.gov,signed,none,none,na
US,gov-census,house.gov,signed,selector1,cname,no
US,gov-census,gopleader.gov,signed,none,none,na
US,gov-census,democrats.gov,signed,none,none,na
US,gov-census,housecommunications.gov,signed,none,none,na
US,gov-census,housedemocrats.gov,signed,none,none,na
US,gov-census,gopwhip.gov,signed,none,none,na
US,gov-census,gop.gov,signed,none,none,na
US,gov-census,housedems.gov,signed,none,none,na
US,gov-census,jct.gov,signed,selector1,cname,no
US,gov-census,housed.gov,signed,none,none,na
US,gov-census,ppdcecc.gov,unsigned,none,none,na
US,gov-census,majorityleader.gov,signed,none,none,na
US,gov-census,housenewsletters.gov,signed,none,none,na
US,gov-census,houselive.gov,signed,none,none,na
US,gov-census,majoritywhip.gov,signed,none,none,na
US,gov-census,minoritywhip.gov,signed,none,none,na
US,gov-census,speaker.gov,signed,none,none,na
US,gov-census,republicanleader.gov,signed,none,none,na
US,gov-census,republicanwhip.gov,signed,none,none,na
US,gov-census,republicans.gov,signed,none,none,na
US,gov-census,lda.gov,signed,none,none,na
US,gov-census,taxreform.gov,signed,none,none,na
US,gov-census,senate.gov,signed,none,none,na
US,gov-census,ushouse.gov,signed,none,none,na
US,gov-census,uscirf.gov,unsigned,selector1,cname,no
US,gov-census,america250.gov,unsigned,google,direct,no
US,gov-census,itis.gov,signed,selector1,cname,no
US,gov-census,smithsonian.gov,signed,selector1,cname,no
US,gov-census,uscpoig.gov,unsigned,none,none,na
US,gov-census,usa250.gov,unsigned,none,none,na
US,gov-census,ushr.gov,signed,none,none,na
US,gov-census,ussemiquincentennial.gov,unsigned,none,none,na
US,gov-census,uscc.gov,signed,mail,direct,yes
US,gov-census,sen.gov,signed,none,none,na
US,mil,darpa.mil,signed,selector1,cname,yes
US,mil,marines.mil,unsigned,none,none,na
US,mil,nsa.gov.mil,signed,none,none,na
US,mil,defense.gov.mil,signed,none,none,na
US,mil,uscg.mil,signed,selector1,cname,no
US,mil,army.mil,unsigned,selector1,cname,no
US,mil,dtic.mil,signed,none,none,na
US,mil,socom.mil,signed,none,none,na
US,mil,navy.mil,unsigned,selector1,cname,yes
US,mil,nps.edu.mil,signed,none,none,na
US,mil,northcom.mil,signed,none,none,na
US,mil,dvidshub.mil,signed,none,none,na
US,gov-census,dotideahub.gov,unsigned,none,none,na
US,mil,disa.mil,unsigned,none,none,na
US,mil,spaceforce.mil,unsigned,none,none,na
US,mil,cybercom.mil,unsigned,none,none,na
US,mil,dau.mil,signed,none,none,na
US,mil,health.mil,signed,selector1,cname,no
US,mil,af.mil,unsigned,none,none,na
US,mil,pacom.mil,unsigned,none,none,na
US,gov-census,ata.gov,unsigned,none,none,na
US,mil,dla.mil,unsigned,none,none,na
SURVEY_DONE
